category,platform,productName,currentPrice,originalPrice,badge,sourceSite,link,image,color
핫딜,네이버,경북 꿀 부사 사과 특A급 가정용 4kg,10700,13910,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672217,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,green
핫딜,NS홈쇼핑,유한락스 욕실청소용 650ml 4개,11500,14950,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672349,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,지마켓,세븐일레븐 금액권 5만 10%,45000,58500,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672347,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
핫딜,슈가모바일,"300분, 10GB+1mbps",6600,8580,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672346,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,쿠팡,"광동진한헛개차 무라벨 그린, 330ml, 20개",0,0,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672345,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
핫딜,옥션,산타바바라폴로 남성 드로즈팬티 10매 + 원터치벨트,14900,19370,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672343,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
핫딜,스팀,Toy Tinker Simulator / Rat Quest / 100% 오렌지 주스 재배포 외,0,0,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672342,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,쿠팡,비비드 저칼로리소스 핫/치킨/케찹/바베큐 X 2개,0,0,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672341,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
핫딜,토스쇼핑,"크라운 헬로키티 스위트샵 과자종합선물세트 640g, 1개 9,900원",9900,12870,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672340,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,헬로모바일,알뜰요금제 7GB+5GB,18330,23829,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672339,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,네이버,메추리알 장조림 1.7kg,0,0,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672338,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,green
핫딜,SKT,5G 데이터 완전 무제한/1.2 만   등,0,0,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672337,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,11번가,노티드 이뮨 멀티비타민 2세트,17800,23140,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672336,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
핫딜,롯데온,파워에이드 900ml 12입,10080,13104,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672335,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,네이버,퓨라셀미인 피부미인 풀패키지,1590000,2067000,HOT,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672334,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,green
핫딜,옥션,58L 대형 보스턴백,14700,19110,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672333,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
핫딜,네이버,마그랩 포 스트레스 14병,8900,11570,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672332,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,green
핫딜,롯데온,한맥 마시따 닭가슴살큐브 130g 3종 x 15개,8160,10608,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672331,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,blue
핫딜,G마켓,예담우 1++등급 한우 갈비살 250g + 250g,28300,36790,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672330,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
핫딜,네이버,냉장 제주흑돼지 구이살 250g,990,1287,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672329,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,green
핫딜,지마켓,해남 호풍미 고구마 3kg 특상,9990,12987,NEW,뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu&page=1&divpage=107&no=672328,https://placehold.co/80x80/f1f5f9/94a3b8?text=HOT,red
